#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:felidae_atp8" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:felidae_atp8" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:felidae_atp8" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.felidae_atp8" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:felidae_atp8" name="distribution" x="@birthRate.t:felidae_atp8">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="kappa1Prior.s:felidae_atp8" name="distribution">
#            <parameter id="kappa1.s:felidae_atp8" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="kappa2Prior.s:felidae_atp8" name="distribution">
#            <parameter id="kappa2.s:felidae_atp8" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.1" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="S" spec="beast.core.parameter.RealParameter">1.25</parameter>
#            </LogNormal>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@felidae_atp8" id="treeLikelihood.felidae_atp8" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:felidae_atp8">
#            <siteModel id="SiteModel.s:felidae_atp8" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:felidae_atp8" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:felidae_atp8" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:felidae_atp8" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="tn93.s:felidae_atp8" kappa1="@kappa1.s:felidae_atp8" kappa2="@kappa2.s:felidae_atp8" spec="beast.evolution.substitutionmodel.TN93">
#                    <frequencies data="@felidae_atp8" id="empiricalFreqs.s:felidae_atp8" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:felidae_atp8" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:felidae_atp8" name="clock.rate" spec="beast.core.parameter.RealParameter">0.02</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	kappa1	kappa2
65000	-383.3677921592977	-346.5206775718535	-36.847114587444196	-346.5206775718535	6.170587368988595	-23.22179508258712	0.4508700587938121	58.359960633911754	19.95524133722845
66000	-381.18915593010706	-345.0749966267608	-36.11415930334623	-345.0749966267608	7.296747038037913	-22.488839798489156	0.4401400649872981	58.359960633911754	19.95524133722845
67000	-383.8908122350565	-347.57370571601	-36.31710651904649	-347.57370571601	6.630327738824887	-22.569703320861286	0.5014679217379584	58.359960633911754	21.046550729001776
68000	-382.25189803505583	-343.3127870425487	-38.939110992507175	-343.3127870425487	8.024160907910627	-25.19170779432197	0.3637483146962085	58.359960633911754	21.046550729001776
69000	-380.0001711255308	-344.0082071457877	-35.99196397974311	-344.0082071457877	7.2991695980473565	-23.109752122329496	0.5228647333248333	43.15306342066113	21.046550729001776
70000	-378.4046550126586	-343.150772565394	-35.25388244726465	-343.150772565394	5.876282802134783	-22.798683355934713	0.7323527437888568	43.15306342066113	17.40716999248752
71000	-380.3901483780098	-346.4151747304263	-33.97497364758354	-346.4151747304263	5.575135170444616	-21.605411363102494	0.43583559369967273	41.83444689996577	17.40716999248752
72000	-385.01374815989493	-352.03252947988176	-32.98121868001316	-352.03252947988176	4.753908530977579	-21.75927769702164	0.31578828336524856	26.945552473143366	17.40716999248752
73000	-384.247817296073	-347.7627198639972	-36.48509743207581	-347.7627198639972	6.169556919287746	-23.045405774342747	0.30055227685210245	60.74743862215833	17.40716999248752
74000	-382.8363886017341	-351.079625195475	-31.756763406259076	-351.079625195475	4.817541013076683	-21.38793541301504	0.35416245258122214	33.094432712068404	8.649867035584098
75000	-386.02634872850655	-349.86321270633636	-36.16313602217021	-349.86321270633636	6.647010452455752	-24.84834799368317	0.3303806862029279	33.094432712068404	14.230420223634708
76000	-382.75634382113657	-344.17898858440384	-38.57735523673273	-344.17898858440384	7.369118931798729	-25.5746181302783	0.3363959000602774	52.123255499946985	17.511541763328886
77000	-385.115245751119	-349.27168678461896	-35.84355896650003	-349.27168678461896	6.244454899998091	-23.655804965456507	0.29812836193752584	52.123255499946985	11.803381399904856
78000	-394.7969454289197	-356.51349800854473	-38.28344742037493	-356.51349800854473	7.966276059523966	-25.508245877293568	0.3055304645800479	52.123255499946985	15.759547266935472
79000	-381.60681398722915	-344.18151360328034	-37.42530038394879	-344.18151360328034	8.05456811619797	-24.650098840867432	0.3654782945826459	52.123255499946985	15.759547266935472
80000	-387.0857207501046	-349.917944861012	-37.167775889092596	-349.917944861012	7.2967872706492285	-25.34947562424633	0.31016388163440817	36.944740474161655	15.759547266935472
81000	-384.90358698233786	-349.68346716717696	-35.22011981516092	-349.68346716717696	6.076657613098338	-22.95840884701946	0.4796516460454374	43.48051247069438	15.759547266935472
82000	-380.0617343037661	-344.29977516929847	-35.76195913446763	-344.29977516929847	6.478783059888899	-23.50024816632617	0.4142850697074069	43.48051247069438	15.759547266935472
83000	-380.3453222823927	-346.95277684663597	-33.39254543575675	-346.95277684663597	5.503426961977722	-21.130834467615287	0.3965452945360154	43.48051247069438	15.759547266935472
84000	-384.14778022759054	-346.5447386840505	-37.603041543540016	-346.5447386840505	6.771291751185475	-25.444249442723354	0.2274816200514293	41.890339183353184	15.759547266935472
